anio,cancion,artista,generos_artista,popularidad,fecha_lanzamiento
2010,Imperfect,Stone Sour,"post-grunge, alternative metal, nu metal",51,2010-09-03
2010,La Duda,Enjambre,"mexican indie, rock en español, mexican rock, latin indie, latin rock",64,2010-01-01
2010,On The Run,The Jompson Brothers,"southern rock, country rock, outlaw country, country blues",57,2010-11-30
2010,Love Comes And Goes,Xavier Rudd,,42,2010-04-19
2010,Creeping in My Soul,Cryoshell,,50,2010-06-07
2010,Arde la ciudad,Mancha De Rolando,argentine rock,47,2010-12-29
2010,Sting in the Tail,Scorpions,"hard rock, glam metal, rock",34,2010-03-22
2010,Ella me dijo que no,Bunbury,"rock en español, latin rock, mexican rock",41,2010-02-16
2010,The More Things Change,Bon Jovi,"glam metal, rock",38,2010-11-09
2010,The Space In Between,How To Destroy Angels,"industrial rock, industrial, industrial metal",50,2010-05-26
2010,Erase My Scars,Evans Blue,"post-grunge, alternative metal",55,2010-07-27
2010,If You Want Blood (You've Got It),AC/DC,"rock, hard rock, classic rock, rock and roll",47,2010-04-29
2010,Speaking in Tongues (feat. David Byrne),Arcade Fire,"indie rock, baroque pop",42,2010-07-01
2010,Have I Told You Lately - 2008 Remaster,Rod Stewart,soft rock,43,2010
2010,Pasajeros,Las Pelotas,"argentine rock, rock en español",48,2010-11-09
2010,You’ve Got A Friend - Live At The Troubadour / 2007,Carole King,"singer-songwriter, folk rock",40,2010-01-01
2010,No Matter What,Papa Roach,"nu metal, rap metal, alternative metal, rap rock, rock",50,2010-08-31
2010,Oh Lord,Foxy Shazam,glam rock,37,2010-09-24
2010,CMND/CTRL,Deftones,"nu metal, alternative metal, rap metal, shoegaze, rock",56,2010-04-30
2010,Can't Forget You,My Darkest Days,,54,2010-01-01
2010,Rock Me Amadeus,Falco,neue deutsche welle,44,2010-10-22
2010,Demolición,Los Saicos,"proto-punk, garage rock",39,2010-03-15
2010,Desire Be Desire Go,Tame Impala,"neo-psychedelic, indie",53,2010-05-21
2010,Sleep Is for the Weak,The Dreadnoughts,"sea shanties, celtic punk, celtic rock, folk punk, polka, celtic",51,2010-09-28
2010,You Give Love A Bad Name,Bon Jovi,"glam metal, rock",46,2010-11-09
2010,Un Poco Solo,Caramelos De Cianuro,"latin rock, rock en español",39,2010
2010,Umbrella,The Baseballs,"rockabilly, dansband, boogie-woogie",31,2010-02-08
2010,Suburban War,Arcade Fire,"indie rock, baroque pop",44,2010-07-01
2010,La Celula Que Explota,Caifanes,"rock en español, mexican rock, latin rock, latin alternative",41,2010-09-21
2010,Deep Blue,Arcade Fire,"indie rock, baroque pop",43,2010-07-01
2010,Lobby,Caramelos De Cianuro,"latin rock, rock en español",39,2010
2010,No Digas Lo Siento,Don Tetto,"colombian pop, rock en español, latin rock",48,2010-07-06
2010,Romance Is Boring (2020 Remaster),Los Campesinos!,,48,2010-01-26
2010,Cobarde,Enjambre,"mexican indie, rock en español, mexican rock, latin indie, latin rock",61,2010-01-01
2010,Mi Error,Don Tetto,"colombian pop, rock en español, latin rock",48,2010-07-06
2010,Excuses,The Morning Benders,indie rock,43,2010-06-28
2010,Fix Me,10 Years,"post-grunge, alternative metal",62,2010-01-01
2010,This Ole House,Shakin' Stevens,"christmas, rockabilly",39,2010-03-01
2010,Frente a frente,Bunbury,"rock en español, latin rock, mexican rock",37,2010-01-15
2010,Viento,Vicentico,"argentine rock, latin rock, rock en español",46,2010
2010,El boxeador,Bunbury,"rock en español, latin rock, mexican rock",36,2010-02-16
2010,Sweetest Kill,Broken Social Scene,"baroque pop, indie rock, indie",37,2010-04-30
2010,Can't Reach You,Yogi Lang,"progressive rock, art rock",42,2010-11-05
2010,Resulta Imposible,Las Pastillas del Abuelo,argentine rock,48,2010-01-01
2010,Vino Mariani,Indio Solari,argentine rock,49,2010-06-12
2010,Wonderful Life,Alter Bridge,"post-grunge, alternative metal, hard rock",43,2010-10-08
2010,Wanna-be Angel,Foxy Shazam,glam rock,45,2010-04-12
2010,Give Me One Reason,Lee Ritenour's 6 String Theory,"blues, jazz fusion, blues rock",41,2010-01-01
2010,Monsters In The Parasol,Queens of the Stone Age,"stoner rock, alternative rock",44,2010-01-01
2010,Truth,Molly Nilsson,"cold wave, darkwave, synthpop",40,2010-06-07
2010,Rock 'N' Roll Damnation,AC/DC,"rock, hard rock, classic rock, rock and roll",43,2010-04-29
2010,Expectation,Tame Impala,"neo-psychedelic, indie",52,2010-05-21
2010,All Out of Love,Air Supply,soft rock,41,2010-03-01
2010,"I'm Gonna Live Till I Die - Recorded Live at The Triple Door, Seattle, June 23, 2009",Rodríguez,"folk rock, folk",35,2010-04-17
2010,Dance Like Nobody's Watching,Donavon Frankenreiter,surf rock,43,2010-10-04
2010,Mi único Amor,Gerardo Morán,"chicha, electrocumbia, cumbia",36,2010-05-02
2010,Song Of Yesterday,Black Country Communion,"blues rock, modern blues, hard rock",42,2010-09-21
2010,Promise (feat. Chris Cornell),Slash,hard rock,37,2010-04-02
2010,Insoportablemente cruel (feat. Calle 13 & Jerry González),Andrés Calamaro,"argentine rock, rock en español, latin rock",37,2010-05-18
2010,After All This Time,The Beautiful Girls,surf rock,41,2010-05-25
2010,Mongoose,Fu Manchu,"stoner rock, stoner metal, sludge metal, doom metal, space rock",42,2010-08-14
2010,Celosa,Angel Guaraca,"chicha, electrocumbia",36,2010-07-16
2010,Cero a la Izquierda,No Te Va Gustar,"argentine rock, murga, latin rock, rock en español, latin alternative",53,2010-10-01
2010,Amapola del 66,Divididos,"argentine rock, rock en español, latin rock",48,2010
2010,Don't Look Back in Anger,Oasis,"britpop, madchester",49,2010-06-14
2010,Mahal Pa Rin Kita,Rockstar,"opm, pinoy rock, pinoy alternative, p-pop",64,2010
2010,Quiéreme,Byron Solis,"chicha, electrocumbia",35,2010-07-16
2010,Little Wing (feat. Joe Cocker),Santana,,41,2010-09-20
2010,Yo No Quiero Más Calor,Caramelos De Cianuro,"latin rock, rock en español",36,2010
2010,Es hora de hablar,Bunbury,"rock en español, latin rock, mexican rock",37,2010-02-16
2010,Campanas en la noche,Los Tipitos,argentine rock,47,2010-12-06
2010,"Have Blues, Will Travel",Smokin' Joe Kubek & Bnois King,"blues rock, blues, modern blues",40,2010-05-25
2010,Funky Guitar Blues,Bryce Janey,"blues rock, modern blues, blues",42,2010-01-01
2010,¿Qué Podés Dar?,Las Pelotas,"argentine rock, rock en español",48,2010-11-09
