Uri,Nombre_Cancion_o_Album,Artista,Genero_Musical_Seed,Cancion_o_Album_Tipo,Año_Lanzamiento
spotify:track:7L4w1yQnlhqo4oUjpW53wz,You Don't Know How Lucky You Are,Keaton Henson,indie,track,2010
spotify:track:2irDC5hDrLeNnqlmABCyZV,Norway,Beach House,indie,track,2010
spotify:track:3iOMThZS40mazWuny8zvXX,Diplomat's Son,Vampire Weekend,indie,track,2010
spotify:track:2E7G8SLYeMS9art3iZsZVL,Never Let Me Down Again - Live In Barcelona,Depeche Mode,indie,track,2010
spotify:track:5bPahglGhN4bmM6NpzUFFw,Sweetest Kill,Broken Social Scene,indie,track,2010
spotify:track:0WrnWxW1pjS0pci5qeho0h,Do You Want It All?,Two Door Cinema Club,indie,track,2010
spotify:track:4nw8ZQCSpWZdfVsokFgKSg,Come Back Home,Two Door Cinema Club,indie,track,2010
spotify:track:046WBHjhJZXtAprWaaTugL,Change of Time,Josh Ritter,indie,track,2010
spotify:track:1lp79Firer0xNldZP1inaD,Allí donde solíamos gritar - Remix,Love of Lesbian,indie,track,2010
spotify:track:4bGcwP6hDcgewarP7lExHG,L.E.S Artistes,Lilly Wood and The Prick,indie,track,2010
spotify:track:2n1O97Xs1G8QL2hCzKxs5z,María En El Corazón,Patxi Andion,indie,track,2010
spotify:track:4x1nUSFFppEZZcfijHV1wy,On Trees And Birds And Fire,I Am Oak,indie,track,2010
spotify:track:09ZSm0xj0pknpfywcbBNkP,For the Summer (with The Pariah Dogs),Ray LaMontagne,indie,track,2010
spotify:track:3LP3Vk0YwesJeDXdopm8sF,Alfonsina y el Mar,Pedro Guerra,indie,track,2010
spotify:track:40jiZBsr1W3SG15AGU9227,Small Hands,Keaton Henson,indie,track,2010
spotify:track:4QYRqkzfWhbnrjEFGuW0u9,10 Mile Stereo,Beach House,indie,track,2010
spotify:track:1m8BbvwAnub1GHOTRiglRx,So You Wanna Be A Superhero,Carissa's Wierd,indie,track,2010
spotify:track:5r396ZtjNYVlfUKYxyKurk,Cuando Vuelva A Tu Lado,Pedro Guerra,indie,track,2010
spotify:track:0ryqxSS2DIs4ctcbJFsubh,Todos dicen que te quiero,Tontxu,indie,track,2010
spotify:track:0qDZTO9CMbLeGPUbiNvJlJ,Remember,Alex G,indie,track,2010
spotify:track:7xKGRbHVZ2EgX6tm7kGQbn,Ya Verás,Funambulista,indie,track,2010
spotify:track:0C7AblcyeKsOYLBT69PTe3,The Curse,Josh Ritter,indie,track,2010
spotify:track:6gV38rdOHP4X10LzxkbkeS,Hold On,Angus & Julia Stone,indie,track,2010
spotify:track:2uSWvWQUZlnsvR6wHTq4tk,De Vuelta,Mr. Kilombo,indie,track,2010
spotify:track:6336VDSySvOz7FD2EX7VcT,Wasted Hours,Arcade Fire,indie,track,2010
spotify:track:0t9WVX63G7UF1Ha2xQqwk0,I Don't Wanna Waste,Ben L'Oncle Soul,indie,track,2010
spotify:track:6IKM8ir2MfJcgIBrpFORnX,Bambi,Tokyo Police Club,indie,track,2010
spotify:track:7MaFxzyTEOdEQ0do2SDZ6k,Uno de Aquellos,Joan Manuel Serrat,indie,track,2010
spotify:track:0of74z3Pw73n6W537d5KqL,Troubles Will Be Gone,The Tallest Man On Earth,indie,track,2010
spotify:track:6F1UlQcpFzL3RLuRSQwK2n,Shout - U.S. Remix,Tears For Fears,indie,track,2010
spotify:track:7y1K489qQl9Xq6V7DZwWwp,Si tu piensas en mí,Vicky Gastelo,indie,track,2010
spotify:track:58CoyTs0xRU524pF3RvAuZ,Half Light I,Arcade Fire,indie,track,2010
spotify:track:0EIbw1chvkoiwT1RyBAc5L,Skinny Little Bitch,Hole,indie,track,2010
spotify:track:2GIR5poRmAQX1oXgOqy0OB,Somos de colores,Tontxu,indie,track,2010
spotify:track:5esEbMt6LHtiha7cqsGdO7,Flash Delirium,MGMT,indie,track,2010
spotify:track:3ihp0qYSN89GBnrgF6GhRh,Either Way,Beta Radio,indie,track,2010
